,Title,Publish Date,Place of Accident,Dead,Cause Of Accident,Village Of Accident,Time,Road,Travel To,Travel From,Cars Involved,Cars ,Registration,Day Of Accident,Type Of Accident,Day_Night
29,Four people perish in Fort Portal-Bundibugyo road accident,2021-05-22,Bundibugyo,4.0,,Nanti town council,16.0,Fort Portal-Bundibugyo,towards Bundibugyo district,from Fort portal,,,UBH,,overturned,Day
30,Another budding journalist dies in Kasese motorcycle crash,2021-05-18,Kasese,1.0,child delivery.,Hima town,15.0,Kasese-Mbarara ,Hima town council,from Bunyangabu District,,,,Tuesday,head on collision,Day
31,14 perish in Masaka-Mbarara road accident,2021-05-06,Masaka City,14.0,trailer driver tried,Kasijagirwa village,7.0,Masaka-Mbarara ,to Kampala.,from Sembabule,taxi,Commuter taxi,UBE,Thursday,head on collision,Day
32,"One Killed, 8 critically injured in Lira road accident",2021-05-25,Lira,1.0,speeding,Atera,8.0,Lira-Kitgum ,,,Canter truck,Truck,UBA,Tuesday,,Day
33,Jinja train accident paralyses traffic in city,2021-05-31,Jinja city,,truck driver failed to,Jinja city,8.0,Kampala-Jinja ,,from Jinja,truck,Truck,UAR,Sunday,head on collision,Day
34,Newly sworn in Kagongo division chairperson perishes in accident,2021-05-25,Ibanda,1.0,speeding,Kashuku road,11.0,Kashuku ,to Ruhoko health center III.,"from 12,858",Fuso truck,Truck,UAY,Monday,,Day
35,Police hunt for driver involved in hit-and-run accident,2021-05-04,Rukiga,1.0,,Maheru village,16.0,,,from where,Isuzu Elf,Truck,UAW,Sunday,knocked pedestrian,Day
36,Three killed in Bundibugyo road accident,2021-05-19,Bundibugyo,3.0,,Nyahuka town council,9.0,,,,,,,Wednesday,,Day
37,Four killed in Fort Portal Bundibugyo road accident,2021-05-22,Bundibugyo,4.0,speeding,Nandi town council,16.0,Fort Portal - Bundibugyo,to Bundibugyo,from Fort Portal,Taxi,Commuter taxi,UBH,Saturday,overturned,Day
38,"Rukungiri accident leaves one dead, another injured",2021-05-12,Rukungiri,1.0,morning,Rukungiri police station.,8.0,Rukungiri-Kanungu,,county Kyenjojo district,Mitsubishi Canter,Truck,UBH,,,Day
39,Narrow escape: All survive nasty Mukono road crash,2021-05-30,Mukono,,on phone,"Ngandu, Mukono Municipality",9.0,Kampala-Jinja,,,Toyota Wish,Private cars,,Sunday,rammed other vehicle,Day
40,UPDF soldiers dead in Soroti-Mbale road accident,2021-06-01,Katakwi,,reckless driving.,Opuyo,14.0,Soroti - Mbale,,,motorcycle,Boda,UAM,Monday,rammed other vehicle,Day
41,Eight UPDF soldiers injured in Bundibugyo accident,2021-06-08,Bundibugyo,1.0,numberless,Dumba cell,13.0,Fort Portal-Bundibugyo,,,,,Sat,Monday,overturned,Day
42,Two perish in road accident,2021-06-08,Buikwe,2.0,high speed,Mawoto village,18.0,Njeru-Kisoga ,,,taxi,Commuter taxi,UAP,Wednesday,head on collision,Day
43,Four killed in Mukono-Katosi Road crash,2021-06-06,Katosi Town Council,4.0,high speed,Mukono Police Station.,0.0,Mukono-Katosi,towards Katosi.,from Katosi,Toyota Wish,Private cars,,Saturday,knocked pedestrian,Night
44,Two seriously hurt in Kassanda Sugar Rally crash,2021-06-08,Kassanda,2.0,rally car,Bukompe village,16.0,,,,ralley car,Rally car,,Saturday,knocked pedestrian,Day
45,Car rams into house hours after 80-year-old owner shifted bed,2021-06-08,Busia,,speeding,,23.0,Tiira ,towards midnight,from Busia Police,,,,Sunday,rammed into house,Night
46,"Two-truck collision in Mbale leaves four siblings dead, two injured",2021-07-10,Mbale,4.0,overtake another vehicle,,6.0,Mbale-Tororo ,,from Mbale.,,,,Saturday,head on collision,Night
47,One killed as car plunges into Luweero roadside stream,2021-06-28,Luweero,1.0,speeding,Ngogolo village,6.0,Kampala-Gulu ,,,Toyota Probox,Private cars,UBG,,,Night
48,Police officer knocked dead in Kansanga,2021-06-22,high speed.,1.0,speeding,Rock Clinic,20.0,Kabalagala Police Station,,,,,,Sunday,knocked pedestrian,Night
49,Two perish in Katosi-Nyenga road accident,2021-06-04,Buikwe,2.0,speeding,Mawoto village,21.0,Katosi-Nyenga Road,,,Taxi,Commuter taxi,UAP,Thursday,overturned,Night
50,Six policemen injured in Katakwi accident,2021-07-21,Katakwi,,a tyre burst,Alera trading centre,6.0,Usuk road,,from Apeleun,,,URN,,swerved off the road,Night
